partner_id,partner_name,gender,age,age_group,city_tier,partner_type,trips_weekly,hours_online_per_week,avg_rating,on_time_pct,cancel_rate,safety_incidents,weekly_earnings,earnings_volatility,cashless_share,earnings_growth_4w,trips_growth_4w,loyalty_years,nova_score
1,Allison Hill,F,20,18-25,C,merchant,51,10.661611841204522,4.800339468142553,0.9945944793978988,0.066534078676602,0,438.220058070513,0.10958244858684743,0.7397295877932015,0.2340776936130149,0.20647108320035373,5.2,618
2,Noah Rhodes,M,38,36-45,A,driver,62,45.9538608489638,4.85284441141197,0.9325152219389689,0.10196978152946196,0,417.1657190578249,0.16126920012670373,0.4666953527629048,-0.12137276892686975,-0.15184441331032095,7.8,570
3,Angie Henderson,F,53,46-60,B,merchant,59,33.131303681617666,4.545562646864021,0.8698547246023094,0.10766687615328861,0,631.2369993394325,0.08576513412575715,0.6743215181714669,0.0332788109280706,0.04330733535341049,3.0,599
4,Daniel Wagner,M,42,36-45,A,merchant,61,48.223275059805005,4.664601877359501,0.898699192542141,0.1376593245547054,0,540.9060901340041,0.1763664830267545,0.9128324779593884,0.13831169744224983,-0.05084524078073255,4.1,635
5,Cristian Santos,M,28,26-35,C,driver,52,51.502703883362415,4.417383154131065,0.8406306182510076,0.0728958344205118,0,232.63772676419393,0.18775609969431736,0.5703493062527738,-0.1264607111684986,0.14015011793057147,1.8,521
6,Connie Lawrence,F,24,18-25,C,driver,53,53.13633111163382,4.725826792613106,0.8393054005229014,0.08814169546657465,0,290.6317719513083,0.17449585838781792,0.8329000513892282,-0.058156061711652815,0.09530473994346257,6.8,555
7,Abigail Shaffer,F,55,46-60,B,driver,61,59.447404859785316,4.4257670838735095,0.9333631355281364,0.04814691047136359,0,590.0532608061765,0.15108658527376082,0.5356542892204783,-0.07467405301663381,0.04487279959514152,1.2,621
8,Gina Moore,F,48,46-60,A,driver,53,54.363569180773034,4.947099255276072,0.942750577470351,0.0,1,402.01103757645217,0.3122408335140301,0.7642387626877962,0.23011263022861767,0.10339457910055991,6.7,626
9,Gabrielle Davis,M,35,26-35,B,driver,61,59.49548828784022,4.98362322018634,0.995,0.06831041907054727,0,608.884086519256,0.2552528912274127,0.9502890076186294,0.2518154078875656,0.04956573131654135,6.4,667
10,Ryan Munoz,M,26,26-35,A,driver,51,55.79060343235331,4.767496523809266,0.9104453211907003,0.03988737238780875,0,539.0890450531597,0.17222881297871218,0.6188797382759987,-0.02341717273338481,0.030489550282241505,1.4,599
11,Monica Herrera,M,32,26-35,C,driver,48,56.66217574022167,4.51831403384831,0.84490825945972,0.09530071609779012,0,476.28100317484177,0.18744223519317624,0.6980068035813343,0.10794982569971205,-0.017908723431077606,5.1,551
12,Jamie Arnold,F,30,26-35,A,driver,87,41.591318607022274,4.817156898086976,0.9301039808122484,5.820038382515179e-05,0,589.5714546733552,0.29010755323276705,0.8619139670319305,0.08080624230585835,0.001126833177834529,3.9,602
13,Lisa Hensley,M,23,18-25,A,driver,53,29.106735687676228,5.0,0.90167704004433,0.051320013278473894,0,581.0860127533952,0.13323565211912386,0.7927965383984086,0.02192066969863346,-0.007124891719061298,2.2,618
